행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수
1126060000,중화제1동,중랑구,중랑구,2023,19061,3866,20.28,971.0,700.0,25.12,1.0,11,0.964,5.094,1933.0,1.24,1.2163,361.7089,1.5218
1126061000,중화제2동,중랑구,중랑구,2023,24371,5209,21.37,1947.0,1462.0,37.38,0.0,11,0.964,7.988,5209.0,1.09,1.2325,535.0077,1.6932
1126062000,묵제1동,중랑구,중랑구,2023,34077,6201,18.2,1300.0,880.0,20.96,2.0,11,0.964,3.815,2067.0,0.77,1.231,545.2451,1.489
1126063000,묵제2동,중랑구,중랑구,2023,18385,3783,20.58,1067.0,715.0,28.21,0.0,11,0.964,5.806,3783.0,1.17,1.2237,385.7714,1.5689
1126065500,망우본동,중랑구,중랑구,2023,35571,6869,19.31,2289.0,1357.0,33.32,9.0,11,0.964,6.434,686.9,0.66,1.2313,402.7524,1.6416
1126066000,망우제3동,중랑구,중랑구,2023,15941,3544,22.23,1271.0,871.0,35.86,1.0,11,0.964,7.972,1772.0,1.21,1.2327,336.053,1.6747
1126068000,신내1동,중랑구,중랑구,2023,38129,7304,19.16,1475.0,942.0,20.19,2.0,11,0.964,3.868,2434.67,1.26,1.2401,646.9779,1.4905
1126069000,신내2동,중랑구,중랑구,2023,19970,4323,21.65,1310.0,889.0,30.3,1.0,11,0.964,6.56,2161.5,1.37,1.2387,411.9154,1.614
1129052500,성북동,성북구,성북구,2023,16246,3082,18.97,819.0,741.0,26.57,0.0,19,0.851,5.04,3082.0,0.45,1.273,196.1693,1.6112
1129055500,삼선동,성북구,성북구,2023,22433,4041,18.01,1148.0,1103.0,28.41,0.0,19,0.851,5.117,4041.0,0.6,1.2567,253.9162,1.6137
1129057500,동선동,성북구,성북구,2023,15077,2185,14.49,649.0,644.0,29.7,3.0,19,0.851,4.304,546.25,-0.28,1.257,119.415,1.6303
1129058000,돈암제1동,성북구,성북구,2023,14404,3015,20.93,744.0,611.0,24.68,1.0,19,0.851,5.166,1507.5,1.06,1.2432,178.488,1.55
1129059000,돈암제2동,성북구,성북구,2023,23490,3687,15.7,629.0,501.0,17.06,0.0,19,0.851,2.678,3687.0,0.81,1.2547,231.3039,1.4688
1129060000,안암동,성북구,성북구,2023,15096,2126,14.08,650.0,603.0,30.57,1.0,19,0.851,4.304,1063.0,-0.02,1.2609,127.6511,1.6464
1129061000,보문동,성북구,성북구,2023,16303,2601,15.95,773.0,676.0,29.72,3.0,19,0.851,4.74,650.25,0.33,1.2426,140.5219,1.6119
1129062000,정릉제1동,성북구,성북구,2023,17940,3233,18.02,661.0,580.0,20.45,1.0,19,0.851,3.685,1616.5,0.68,1.2472,192.0094,1.5023
1129063000,정릉제2동,성북구,성북구,2023,22675,4679,20.64,1078.0,912.0,23.04,2.0,19,0.851,4.755,1559.67,1.25,1.2422,264.1934,1.5284
1129064000,정릉제3동,성북구,성북구,2023,15142,3399,22.45,1012.0,914.0,29.77,0.0,19,0.851,6.683,3399.0,0.65,1.2549,213.2703,1.6285
1129065000,정릉제4동,성북구,성북구,2023,24415,5012,20.53,1281.0,1076.0,25.56,0.0,19,0.851,5.247,5012.0,0.84,1.2404,310.8442,1.5574
1129066000,길음제1동,성북구,성북구,2023,34796,4839,13.91,935.0,817.0,19.32,0.0,19,0.851,2.687,4839.0,0.74,1.2386,299.6793,1.4779
1129068500,길음제2동,성북구,성북구,2023,21621,3136,14.5,706.0,554.0,22.51,4.0,19,0.851,3.264,627.2,0.19,1.2332,161.1381,1.5108
1129070500,종암동,성북구,성북구,2023,38129,7015,18.4,1856.0,1600.0,26.46,3.0,19,0.851,4.869,1753.75,0.72,1.2626,385.093,1.5967
1129071500,월곡제1동,성북구,성북구,2023,25955,4947,19.06,1211.0,1003.0,24.48,1.0,19,0.851,4.666,2473.5,0.9,1.2365,291.2841,1.5392
1129072500,월곡제2동,성북구,성북구,2023,19188,3742,19.5,948.0,734.0,25.33,0.0,19,0.851,4.939,3742.0,0.75,1.2446,232.8647,1.5599
1129076000,장위제1동,성북구,성북구,2023,23801,4230,17.77,1226.0,921.0,28.98,0.0,19,0.851,5.15,4230.0,0.96,1.2294,260.0181,1.5857
1129077000,장위제2동,성북구,성북구,2023,13372,3161,23.64,922.0,797.0,29.17,1.0,19,0.851,6.896,1580.5,0.86,1.2378,186.3184,1.5989
1129078000,장위제3동,성북구,성북구,2023,15727,2209,14.05,522.0,492.0,23.63,1.0,19,0.851,3.32,1104.5,0.5,1.2229,128.6374,1.5119
1129081000,석관동,성북구,성북구,2023,34360,7518,21.88,1993.0,1419.0,26.51,1.0,19,0.851,5.8,3759.0,1.2,1.2354,442.2732,1.5629
1130553400,삼양동,강북구,강북구,2023,22848,5060,22.15,1625.0,1424.0,32.11,0.0,10,0.852,7.112,5060.0,1.1,1.2339,567.594,1.6301
1130553500,미아동,강북구,강북구,2023,21155,4638,21.92,1601.0,1202.0,34.52,4.0,10,0.852,7.567,927.6,0.7,1.2408,383.6554,1.6691
1130554500,송중동,강북구,강북구,2023,29215,6234,21.34,1700.0,1380.0,27.27,4.0,10,0.852,5.819,1246.8,0.82,1.2304,511.3542,1.5659
1130555500,송천동,강북구,강북구,2023,25521,6304,24.7,2146.0,1702.0,34.04,5.0,10,0.852,8.408,1050.67,1.13,1.2349,486.5506,1.6553
1130557500,삼각산동,강북구,강북구,2023,30756,4748,15.44,1178.0,900.0,24.81,0.0,10,0.852,3.831,4748.0,0.9,1.2393,534.9269,1.5468
1130559500,번1동,강북구,강북구,2023,18099,3815,21.08,1207.0,927.0,31.64,6.0,10,0.852,6.67,545.0,1.01,1.2358,277.3281,1.6268
1130560300,번2동,강북구,강북구,2023,15256,4132,27.08,1352.0,936.0,32.72,0.0,10,0.852,8.861,4132.0,1.48,1.2355,464.0987,1.6398
