"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"소공동","일   반","계","","60","53","70","68",
"소공동","일   반","65~79세","","50","40","52","50",
"소공동","일   반","80세 이상","","10","13","18","18",
"회현동","합계","계","","578","480","553","499",
"회현동","합계","65~79세","","455","377","433","390",
"회현동","합계","80세 이상","","123","103","120","109",
"회현동","국민기초생활보장 수급권자","계","","203","213","219","224",
"회현동","국민기초생활보장 수급권자","65~79세","","178","178","188","187",
"회현동","국민기초생활보장 수급권자","80세 이상","","25","35","31","37",
"회현동","저소득노인","계","","8","8","8","2",
"회현동","저소득노인","65~79세","","2","3","4","1",
"회현동","저소득노인","80세 이상","","6","5","4","1",
"회현동","일   반","계","","367","259","326","273",
"회현동","일   반","65~79세","","275","196","241","202",
"회현동","일   반","80세 이상","","92","63","85","71",
"명동","합계","계","","215","192","199","181",
"명동","합계","65~79세","","171","145","153","138",
"명동","합계","80세 이상","","44","47","46","43",
"명동","국민기초생활보장 수급권자","계","","41","30","24","23",
"명동","국민기초생활보장 수급권자","65~79세","","34","23","17","15",
"명동","국민기초생활보장 수급권자","80세 이상","","7","7","7","8",
"명동","저소득노인","계","","5","2","-","1",
"명동","저소득노인","65~79세","","4","1","-","-",
"명동","저소득노인","80세 이상","","1","1","-","1",
"명동","일   반","계","","169","160","175","157",
"명동","일   반","65~79세","","133","121","136","123",
"명동","일   반","80세 이상","","36","39","39","34",
"필동","합계","계","","355","313","316","352",
"필동","합계","65~79세","","253","221","224","252",
"필동","합계","80세 이상","","102","92","92","100",
"필동","국민기초생활보장 수급권자","계","","41","52","56","57",
"필동","국민기초생활보장 수급권자","65~79세","","30","38","39","40",
"필동","국민기초생활보장 수급권자","80세 이상","","11","14","17","17",
"필동","저소득노인","계","","12","9","8","6",
"필동","저소득노인","65~79세","","6","5","4","3",
"필동","저소득노인","80세 이상","","6","4","4","3",
"필동","일   반","계","","302","252","252","289",
"필동","일   반","65~79세","","217","178","181","209",
"필동","일   반","80세 이상","","85","74","71","80",
"장충동","합계","계","","267","252","271","291",
"장충동","합계","65~79세","","188","171","181","195",
"장충동","합계","80세 이상","","79","81","90","96",
"장충동","국민기초생활보장 수급권자","계","","54","57","60","74",
"장충동","국민기초생활보장 수급권자","65~79세","","42","39","42","52",
"장충동","국민기초생활보장 수급권자","80세 이상","","12","18","18","22",
"장충동","저소득노인","계","","4","6","6","1",
