시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,중랑구,기초,여자,65-69세,141,8,7,30,35,3,5,18,8,3
서울,중랑구,기초,여자,70-74세,140,4,8,28,41,6,1,8,11,4
서울,중랑구,기초,여자,75-79세,267,6,16,56,77,19,5,13,15,7
서울,중랑구,기초,여자,80-84세,336,21,35,87,107,16,6,16,7,3
서울,중랑구,기초,여자,85세이상,516,47,72,130,151,13,8,13,5,2
서울,중랑구,의료,남자,65세미만,1,0,0,0,1,0,0,0,0,0
서울,중랑구,의료,남자,65-69세,1,0,0,1,0,0,0,0,0,0
서울,중랑구,의료,남자,70-74세,1,0,0,0,0,0,0,0,0,1
서울,중랑구,의료,남자,75-79세,5,0,1,0,2,0,0,0,0,0
서울,중랑구,의료,남자,80-84세,5,0,0,0,1,0,0,0,1,0
서울,중랑구,의료,남자,85세이상,12,1,1,5,2,0,0,0,0,0
서울,중랑구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,중랑구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,중랑구,의료,여자,70-74세,2,0,0,1,0,0,0,0,1,0
서울,중랑구,의료,여자,75-79세,4,0,0,0,1,0,0,1,0,0
서울,중랑구,의료,여자,80-84세,13,0,0,3,5,1,0,0,0,1
서울,중랑구,의료,여자,85세이상,30,3,5,6,7,1,0,0,0,0
서울,중랑구,감경,남자,65세미만,57,3,7,18,15,3,0,0,1,0
서울,중랑구,감경,남자,65-69세,84,8,8,26,34,1,1,2,0,0
서울,중랑구,감경,남자,70-74세,112,3,8,40,48,6,3,1,0,0
서울,중랑구,감경,남자,75-79세,149,5,10,53,60,9,3,1,0,1
서울,중랑구,감경,남자,80-84세,179,5,20,61,63,19,4,1,0,1
서울,중랑구,감경,남자,85세이상,176,8,17,53,70,16,8,0,0,0
서울,중랑구,감경,여자,65세미만,53,10,7,14,13,2,0,1,0,0
서울,중랑구,감경,여자,65-69세,79,4,8,19,32,6,0,1,1,0
서울,중랑구,감경,여자,70-74세,141,8,10,44,47,15,6,2,0,1
서울,중랑구,감경,여자,75-79세,283,14,23,87,119,20,7,3,0,0
서울,중랑구,감경,여자,80-84세,507,19,48,161,196,45,7,3,3,0
서울,중랑구,감경,여자,85세이상,687,46,109,223,250,40,5,2,1,0
서울,성북구,일반,남자,65세미만,66,7,2,11,12,2,0,7,6,1
서울,성북구,일반,남자,65-69세,131,10,8,28,25,7,0,15,5,7
서울,성북구,일반,남자,70-74세,216,14,19,45,54,11,1,20,7,7
서울,성북구,일반,남자,75-79세,337,16,14,88,99,14,5,28,9,4
서울,성북구,일반,남자,80-84세,505,14,35,122,171,34,14,28,11,9
서울,성북구,일반,남자,85세이상,534,13,55,129,195,46,5,19,9,2
서울,성북구,일반,여자,65세미만,82,6,5,9,7,7,1,15,6,3
서울,성북구,일반,여자,65-69세,168,8,11,24,26,4,2,33,8,7
서울,성북구,일반,여자,70-74세,379,17,30,46,77,23,8,39,16,7
서울,성북구,일반,여자,75-79세,698,28,42,129,199,55,15,64,26,6
서울,성북구,일반,여자,80-84세,1108,53,92,234,353,106,13,71,30,7
서울,성북구,일반,여자,85세이상,1310,70,164,376,447,74,6,37,11,10
서울,성북구,기초,남자,65세미만,90,5,3,16,23,3,0,9,4,4
서울,성북구,기초,남자,65-69세,103,2,5,11,30,8,2,14,6,3
서울,성북구,기초,남자,70-74세,81,1,1,11,29,2,1,7,9,1
서울,성북구,기초,남자,75-79세,70,4,6,12,13,3,1,6,4,1
서울,성북구,기초,남자,80-84세,62,3,2,14,21,7,0,5,0,1
서울,성북구,기초,남자,85세이상,57,1,6,10,23,3,0,2,2,0
서울,성북구,기초,여자,65세미만,38,5,1,9,6,3,0,4,0,1
서울,성북구,기초,여자,65-69세,82,4,3,12,18,3,2,12,3,3
서울,성북구,기초,여자,70-74세,100,0,6,16,29,5,0,6,7,1
서울,성북구,기초,여자,75-79세,170,5,8,26,58,9,1,19,8,8
서울,성북구,기초,여자,80-84세,233,3,20,58,79,14,2,10,5,3
서울,성북구,기초,여자,85세이상,337,16,49,89,103,17,3,10,3,1
