행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1135069500,상계6.7동,노원구,노원구,2023,31915,5304,1095.0,16.62,0.83,17.52,17.24,11.26,1060.8,0.814,12.0,390.4992,-16.44
1135070000,상계8동,노원구,노원구,2023,22208,3079,537.0,13.86,0.69,33.58,16.99,10.98,3079.0,0.814,12.0,295.4419,65.52
1135071000,상계9동,노원구,노원구,2023,19921,3713,698.0,18.64,1.29,60.33,16.08,10.32,1856.5,0.814,12.0,330.1122,114.7520000000001
1135072000,상계10동,노원구,노원구,2023,18342,2951,426.0,16.09,1.29,58.69,14.24,10.68,2951.0,0.814,12.0,281.7978,114.7520000000001
1138051000,녹번동,은평구,은평구,2023,36447,7346,1707.0,20.16,0.92,30.47,18.87,8.85,1224.33,0.825,17.0,396.4285,27.08
1138052000,불광제1동,은평구,은평구,2023,37871,8025,1849.0,21.19,0.98,28.2,18.87,9.7,2675.0,0.825,17.0,501.2415,20.2
1138053000,불광제2동,은평구,은평구,2023,27121,6186,1548.0,22.81,0.99,34.16,19.22,8.54,1237.2,0.825,17.0,348.9185,31.11
1138055100,갈현제1동,은평구,은평구,2023,15587,3267,1103.0,20.96,0.61,26.81,19.16,8.36,1089.0,0.825,17.0,201.7863,-23.04
1138055200,갈현제2동,은평구,은평구,2023,27913,5265,1013.0,18.86,1.02,24.6,19.01,8.66,1316.25,0.825,17.0,310.2339,24.56
1138056000,구산동,은평구,은평구,2023,31776,6413,1099.0,20.18,0.7,22.03,18.68,8.73,2137.67,0.825,17.0,396.644,25.13
1138057000,대조동,은평구,은평구,2023,27292,5225,1524.0,19.14,-0.14,30.78,19.8,8.81,1306.25,0.825,17.0,309.4693,5.37
