"동별","독거노인별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"명동","일   반","80세 이상","","","","","","25","24","24","28","30","24","40","36","39","39","34",
"필동","합계","계","","","","","","221","226","228","226","244","238","349","355","313","316","352",
"필동","합계","65~79세","","","","","","165","161","161","162","176","174","244","253","221","224","252",
"필동","합계","80세 이상","","","","","","56","65","67","64","68","64","105","102","92","92","100",
"필동","국민기초생활보장 수급권자","계","","","","","","31","27","39","30","35","31","36","41","52","56","57",
"필동","국민기초생활보장 수급권자","65~79세","","","","","","21","17","29","20","23","21","27","30","38","39","40",
"필동","국민기초생활보장 수급권자","80세 이상","","","","","","10","10","10","10","12","10","9","11","14","17","17",
"필동","저소득노인","계","","","","","","6","3","3","6","8","8","11","12","9","8","6",
"필동","저소득노인","65~79세","","","","","","4","2","2","4","7","7","7","6","5","4","3",
"필동","저소득노인","80세 이상","","","","","","2","1","1","2","1","1","4","6","4","4","3",
"필동","일   반","계","","","","","","184","196","186","190","201","199","302","302","252","252","289",
"필동","일   반","65~79세","","","","","","140","142","130","138","146","146","210","217","178","181","209",
"필동","일   반","80세 이상","","","","","","44","54","56","52","55","53","92","85","74","71","80",
"장충동","합계","계","","","","","","186","185","187","186","178","207","256","267","252","271","291",
"장충동","합계","65~79세","","","","","","144","140","143","145","134","154","186","188","171","181","195",
"장충동","합계","80세 이상","","","","","","42","45","44","41","44","53","70","79","81","90","96",
